ranking,occupation
446,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
447,"Hotel, Motel, and Resort Desk Clerks"
448,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
449,Ophthalmologists
450,First-Line Supervisors of Police and Detectives
451,Automotive Engineering Technicians
452,Forest and Conservation Technicians
453,Childcare Workers
454,Nursery and Greenhouse Managers
455,Acupuncturists
456,Quality Control Analysts
457,Electricians
458,Adapted Physical Education Specialists
459,Validation Engineers
460,Cement Masons and Concrete Finishers
461,Funeral Attendants
462,Soil and Water Conservationists
463,Precision Agriculture Technicians
464,Water Resource Specialists
465,Nurse Midwives
466,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
467,Manufacturing Engineers
468,Magnetic Resonance Imaging Technologists
469,Transportation Planners
470,Funeral Service Managers
471,Bus and Truck Mechanics and Diesel Engine Specialists
472,"Dentists, General"
473,"Electric Motor, Power Tool, and Related Repairers"
474,Drywall and Ceiling Tile Installers
475,"First-Line Supervisors of Mechanics, Installers, and Repairers"
476,"Fraud Examiners, Investigators and Analysts"
477,Manufacturing Production Technicians
478,"Makeup Artists, Theatrical and Performance"
479,Occupational Therapy Assistants
480,Fuel Cell Engineers
481,Machinists
482,"Morticians, Undertakers, and Funeral Directors"
483,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
484,Regulatory Affairs Managers
485,Remote Sensing Scientists and Technologists
486,Physical Therapists
487,Flight Attendants
488,Music Composers and Arrangers
489,Freight Forwarders
490,"Tailors, Dressmakers, and Custom Sewers"
491,Forest Fire Fighting and Prevention Supervisors
492,Veterinary Assistants and Laboratory Animal Caretakers
493,Hydrologists
494,Correctional Officers and Jailers
495,Waiters and Waitresses
496,Heating and Air Conditioning Mechanics and Installers
497,Transportation Security Screeners
498,Environmental Engineers
499,Solar Photovoltaic Installers
500,Logistics Managers
501,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
502,Loss Prevention Managers
503,Jewelers
504,Police Detectives
505,Critical Care Nurses
506,Veterinary Technologists and Technicians
507,Industrial Ecologists
508,Photographic Process Workers and Processing Machine Operators
509,Climate Change Analysts
510,Tree Trimmers and Pruners
511,Construction Carpenters
512,Aquacultural Managers
513,Timing Device Assemblers and Adjusters
514,Tour Guides and Escorts
515,Highway Maintenance Workers
516,Fishers and Related Fishing Workers
517,Water/Wastewater Engineers
518,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
519,Reinforcing Iron and Rebar Workers
520,First-Line Supervisors of Correctional Officers
521,Commercial and Industrial Designers
522,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
523,Print Binding and Finishing Workers
524,Industrial Production Managers
525,Nursing Assistants
526,Tile and Marble Setters
527,Nannies
528,Fabric and Apparel Patternmakers
529,Materials Engineers
530,Dental Assistants
531,"Insulation Workers, Floor, Ceiling, and Wall"
532,First-Line Supervisors of Personal Service Workers
533,Locomotive Firers
534,Outdoor Power Equipment and Other Small Engine Mechanics
535,Continuous Mining Machine Operators
536,Mapping Technicians
537,Aircraft Cargo Handling Supervisors
538,Administrative Services Managers
539,Supply Chain Managers
540,Chemical Engineers
541,Medical Equipment Preparers
542,Logistics Analysts
543,Aircraft Mechanics and Service Technicians
544,"Transportation Attendants, Except Flight Attendants"
545,Rehabilitation Counselors
546,Ophthalmic Medical Technicians
547,Manicurists and Pedicurists
548,Gaming Dealers
549,Electrical Power-Line Installers and Repairers
550,Glaziers
551,Chemical Plant and System Operators
552,Hoist and Winch Operators
553,"Insulation Workers, Mechanical"
554,Animal Trainers
555,Watch Repairers
556,Nonfarm Animal Caretakers
557,Plasterers and Stucco Masons
558,"Sawing Machine Setters, Operators, and Tenders, Wood"
559,Medical and Clinical Laboratory Technicians
560,Industrial Truck and Tractor Operators
561,Product Safety Engineers
562,Fire Inspectors
563,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
564,Conveyor Operators and Tenders
565,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
566,Nuclear Equipment Operation Technicians
567,"Coil Winders, Tapers, and Finishers"
568,Postal Service Clerks
569,"Mixing and Blending Machine Setters, Operators, and Tenders"
570,Credit Checkers
571,"Cooks, Private Household"
572,Wellhead Pumpers
573,Podiatrists
574,Mine Shuttle Car Operators
575,Refrigeration Mechanics and Installers
576,Credit Analysts
577,Light Truck or Delivery Services Drivers
578,Surveying Technicians
579,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
580,Transit and Railroad Police
581,"Farmworkers and Laborers, Crop"
582,"Laborers and Freight, Stock, and Material Movers, Hand"
583,Manufactured Building and Mobile Home Installers
584,First-Line Supervisors of Agricultural Crop and Horticultural Workers
585,"Refractory Materials Repairers, Except Brickmasons"
586,Transportation Engineers
587,Speech-Language Pathology Assistants
588,"Pump Operators, Except Wellhead Pumpers"
589,Forensic Science Technicians
590,Hazardous Materials Removal Workers
591,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
592,Fallers
593,Chief Sustainability Officers
594,Postmasters and Mail Superintendents
595,"Tool Grinders, Filers, and Sharpeners"
596,"Mobile Heavy Equipment Mechanics, Except Engines"
597,Paperhangers
598,Foresters
599,Chemical Equipment Operators and Tenders
600,"Textile Cutting Machine Setters, Operators, and Tenders"
601,Aerospace Engineering and Operations Technicians
602,"Roustabouts, Oil and Gas"
603,Talent Directors
604,Probation Officers and Correctional Treatment Specialists
605,"Grinding and Polishing Workers, Hand"
606,Sound Engineering Technicians
607,Speech-Language Pathologists
608,"Meter Readers, Utilities"
609,Cleaners of Vehicles and Equipment
610,Credit Authorizers
611,Radiation Therapists
612,Aviation Inspectors
613,Camera and Photographic Equipment Repairers
614,Nurse Anesthetists
615,Riggers
616,Zoologists and Wildlife Biologists
617,Precious Metal Workers
618,Floor Sanders and Finishers
619,Textile Bleaching and Dyeing Machine Operators and Tenders
620,Maids and Housekeeping Cleaners
621,"Service Unit Operators, Oil, Gas, and Mining"
622,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
623,Gas Plant Operators
624,Audiologists
625,Agricultural Inspectors
626,Quality Control Systems Managers
627,Automotive Specialty Technicians
628,"Explosives Workers, Ordnance Handling Experts, and Blasters"
629,Wind Energy Engineers
630,Legislators
631,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
632,Solderers and Brazers
633,Farm Equipment Mechanics and Service Technicians
634,Gem and Diamond Workers
635,"Rock Splitters, Quarry"
636,Commercial Pilots
637,First-Line Supervisors of Animal Husbandry and Animal Care Workers
638,Recycling and Reclamation Workers
639,Septic Tank Servicers and Sewer Pipe Cleaners
640,Sheriffs and Deputy Sheriffs
641,Automotive Body and Related Repairers
642,"Musicians, Instrumental"
643,"Stone Cutters and Carvers, Manufacturing"
644,Geothermal Production Managers
645,Log Graders and Scalers
646,First-Line Supervisors of Production and Operating Workers
647,Radio Mechanics
648,"Financial Managers, Branch or Department"
649,Fitness Trainers and Aerobics Instructors
650,Embalmers
651,Cargo and Freight Agents
652,Municipal Firefighters
653,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
654,Film and Video Editors
655,Music Directors
656,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
657,Machine Feeders and Offbearers
658,Distance Learning Coordinators
659,Gaming Supervisors
660,Stonemasons
661,Structural Iron and Steel Workers
662,Emergency Medical Technicians and Paramedics
663,First-Line Supervisors of Aquacultural Workers
664,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
665,Industrial Safety and Health Engineers
666,Hunters and Trappers
667,Biofuels Production Managers
668,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
669,Hearing Aid Specialists
670,"Earth Drillers, Except Oil and Gas"
671,Medical Assistants
672,Musical Instrument Repairers and Tuners
673,Wind Energy Project Managers
674,Locomotive Engineers
675,Biomass Plant Technicians
676,Criminal Investigators and Special Agents
677,Ophthalmic Medical Technologists
678,Railroad Conductors and Yardmasters
679,"Mail Clerks and Mail Machine Operators, Except Postal Service"
680,Motorcycle Mechanics
681,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
682,Recreation Workers
683,"Dispatchers, Except Police, Fire, and Ambulance"
684,Tire Builders
685,"Opticians, Dispensing"
686,Public Address System and Other Announcers
687,Rail Car Repairers
688,Industrial Engineering Technologists
689,Rough Carpenters
690,Crossing Guards
691,Labor Relations Specialists
692,Structural Metal Fabricators and Fitters
693,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
694,Landscaping and Groundskeeping Workers
695,"Child, Family, and School Social Workers"
696,Marine Architects
697,Forest Fire Inspectors and Prevention Specialists
698,Fish and Game Wardens
699,"Insurance Appraisers, Auto Damage"
700,"Food Servers, Nonrestaurant"
701,"Control and Valve Installers and Repairers, Except Mechanical Door"
702,Radiologic Technologists
703,Mechanical Engineering Technicians
704,Prosthodontists
705,Helpers--Extraction Workers
706,Roofers
707,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
708,"Bus Drivers, Transit and Intercity"
709,Merchandise Displayers and Window Trimmers
710,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
711,Surgical Technologists
712,Sewing Machine Operators
713,Oral and Maxillofacial Surgeons
714,Motorboat Mechanics and Service Technicians
715,Compensation and Benefits Managers
716,Biologists
717,Air Traffic Controllers
718,Nursery Workers
719,Methane/Landfill Gas Collection System Operators
720,Farm Labor Contractors
721,Audio and Video Equipment Technicians
722,Hydroelectric Production Managers
723,Nuclear Monitoring Technicians
724,Mechanical Door Repairers
725,Slaughterers and Meat Packers
726,"Compensation, Benefits, and Job Analysis Specialists"
727,Motion Picture Projectionists
728,Fire Investigators
729,Costume Attendants
730,Hydroelectric Plant Technicians
731,Postal Service Mail Carriers
732,Nuclear Medicine Technologists
733,Dredge Operators
734,"Railroad Brake, Signal, and Switch Operators"
735,Solar Energy Systems Engineers
736,"Insurance Adjusters, Examiners, and Investigators"
737,"Roof Bolters, Mining"
738,Power Distributors and Dispatchers
739,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
740,"Cutters and Trimmers, Hand"
741,Pipelayers
742,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
743,Furniture Finishers
744,Neuropsychologists and Clinical Neuropsychologists
745,Helpers--Electricians
746,Agricultural Equipment Operators
747,Telecommunications Line Installers and Repairers
748,Psychiatric Aides
749,Gaming Change Persons and Booth Cashiers
750,"Pourers and Casters, Metal"
751,Recreational Vehicle Service Technicians
752,Epidemiologists
753,Sailors and Marine Oilers
754,Metal-Refining Furnace Operators and Tenders
755,Occupational Health and Safety Specialists
756,"Patternmakers, Metal and Plastic"
757,Medical Equipment Repairers
758,"Potters, Manufacturing"
759,Environmental Restoration Planners
760,Boilermakers
761,Excavating and Loading Machine and Dragline Operators
762,"Coin, Vending, and Amusement Machine Servicers and Repairers"
763,Animal Breeders
764,Anesthesiologist Assistants
765,"Maintenance Workers, Machinery"
766,Gaming and Sports Book Writers and Runners
767,Fuel Cell Technicians
768,Brickmasons and Blockmasons
769,Dental Laboratory Technicians
770,Physical Medicine and Rehabilitation Physicians
771,"Helpers--Installation, Maintenance, and Repair Workers"
772,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
773,Advertising Sales Agents
774,Printing Press Operators
775,"Mining and Geological Engineers, Including Mining Safety Engineers"
776,Municipal Fire Fighting and Prevention Supervisors
777,Endoscopy Technicians
778,Adhesive Bonding Machine Operators and Tenders
779,Brokerage Clerks
780,Avionics Technicians
781,"Combined Food Preparation and Serving Workers, Including Fast Food"
782,Floral Designers
783,Tool and Die Makers
784,Mechanical Drafters
785,"Paper Goods Machine Setters, Operators, and Tenders"
786,Surveyors
787,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
788,Carpet Installers
789,Energy Auditors
790,Water and Wastewater Treatment Plant and System Operators
791,Brownfield Redevelopment Specialists and Site Managers
792,Broadcast Technicians
793,Airfield Operations Specialists
794,"Derrick Operators, Oil and Gas"
795,"Paving, Surfacing, and Tamping Equipment Operators"
796,Sports Medicine Physicians
797,Packaging and Filling Machine Operators and Tenders
798,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
799,"Umpires, Referees, and Other Sports Officials"
800,Nuclear Power Reactor Operators
801,Foundry Mold and Coremakers
802,Helpers--Production Workers
803,"Cooks, Institution and Cafeteria"
804,"Rotary Drill Operators, Oil and Gas"
805,"Buyers and Purchasing Agents, Farm Products"
806,"Ushers, Lobby Attendants, and Ticket Takers"
807,Food Service Managers
808,Wind Turbine Service Technicians
809,Range Managers
810,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
811,Electromechanical Equipment Assemblers
812,Biofuels Processing Technicians
813,Laundry and Dry-Cleaning Workers
814,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
815,"Title Examiners, Abstractors, and Searchers"
816,Cardiovascular Technologists and Technicians
817,Mine Cutting and Channeling Machine Operators
818,Helpers--Roofers
819,Security Guards
820,Upholsterers
821,Personal Care Aides
822,Shoe Machine Operators and Tenders
823,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
824,Weatherization Installers and Technicians
825,Construction Laborers
826,Forest and Conservation Workers
827,Motorboat Operators
828,"Mates- Ship, Boat, and Barge"
829,Emergency Management Directors
830,Terrazzo Workers and Finishers
831,Dining Room and Cafeteria Attendants and Bartender Helpers
832,"Airline Pilots, Copilots, and Flight Engineers"
833,Automotive Master Mechanics
834,"Sewers, Hand"
835,"Pilots, Ship"
836,Parking Enforcement Workers
837,Statement Clerks
838,Petroleum Engineers
839,Models
840,Marking Clerks
841,Bridge and Lock Tenders
842,Orderlies
843,Gaming Managers
844,Cooling and Freezing Equipment Operators and Tenders
845,Bakers
846,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
847,Automotive Glass Installers and Repairers
848,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
849,Tire Repairers and Changers
850,Solar Thermal Installers and Technicians
851,Athletes and Sports Competitors
852,Refuse and Recyclable Material Collectors
853,Respiratory Therapy Technicians
854,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
855,Technical Directors/Managers
856,Gaming Surveillance Officers and Gaming Investigators
